date,open,high,low,close,volume
23-06-2006,1.8186,1.8281,1.7967,1.8231,78468000
26-06-2006,1.8231,1.854,1.8171,1.8341,72116000
27-06-2006,1.8316,1.8705,1.8042,1.8196,112820000
28-06-2006,1.8306,1.851,1.8196,1.8306,75034000
29-06-2006,1.8366,1.9239,1.8306,1.9214,127450000
30-06-2006,1.9244,1.9373,1.887,1.9294,103824000
03-07-2006,1.9214,1.9264,1.9069,1.9259,28726000
05-07-2006,1.9094,1.9169,1.8346,1.851,114680000
06-07-2006,1.849,1.8825,1.8216,1.8356,87454000
07-07-2006,1.8311,1.8595,1.7832,1.8012,100082000
10-07-2006,1.8106,1.8306,1.7657,1.7852,77534000
11-07-2006,1.7827,1.7917,1.7463,1.7787,121772000
12-07-2006,1.7757,1.7907,1.7243,1.7273,97894000
13-07-2006,1.7124,1.7273,1.6815,1.6824,129110000
14-07-2006,1.6715,1.6824,1.6361,1.642,161896000
17-07-2006,1.6356,1.6924,1.6356,1.6795,143946000
18-07-2006,1.6785,1.7104,1.644,1.6705,104300000
19-07-2006,1.671,1.7343,1.6655,1.7199,177326000
20-07-2006,1.7154,1.7363,1.6874,1.7049,116724000
21-07-2006,1.6884,1.6944,1.642,1.6555,142732000
24-07-2006,1.6635,1.7298,1.663,1.7114,147708000
25-07-2006,1.6959,1.7039,1.6655,1.6755,344600000
26-07-2006,1.4345,1.4465,1.2949,1.3098,1539704000
27-07-2006,1.3193,1.3368,1.2969,1.3248,527876000
28-07-2006,1.3368,1.3557,1.3253,1.3552,248440000
31-07-2006,1.3478,1.3612,1.3338,1.3413,160764000
01-08-2006,1.3243,1.3288,1.2889,1.3128,262576000
02-08-2006,1.3044,1.3118,1.2914,1.3014,156208000
03-08-2006,1.3014,1.3418,1.2919,1.3313,138822000
04-08-2006,1.3438,1.3762,1.3368,1.3612,205048000
07-08-2006,1.3562,1.3612,1.3263,1.3358,109528000
08-08-2006,1.3368,1.3478,1.3064,1.3148,145204000
09-08-2006,1.3238,1.3318,1.2969,1.3074,138224000
10-08-2006,1.3069,1.3228,1.2909,1.3213,128112000
11-08-2006,1.3069,1.3183,1.2849,1.3004,102318000
14-08-2006,1.3079,1.3497,1.3059,1.3233,102560000
15-08-2006,1.3453,1.3897,1.3278,1.3852,164032000
16-08-2006,1.3951,1.4036,1.3727,1.3941,152732000
17-08-2006,1.3946,1.4839,1.3882,1.451,189926000
18-08-2006,1.451,1.458,1.4076,1.4525,119972000
21-08-2006,1.4316,1.4455,1.3951,1.4031,106698000
