date,open,high,low,close,volume
08-06-2006,3.7386,3.9857,3.6857,3.9686,16986900
09-06-2006,3.9757,3.9786,3.8714,3.9271,8463000
12-06-2006,3.8886,3.9357,3.81,3.8686,7510300
13-06-2006,3.8429,4,3.8429,3.9343,10831100
14-06-2006,3.9571,4.0286,3.9071,3.9986,6212500
15-06-2006,4.0029,4.0629,3.8814,3.9571,8722000
16-06-2006,3.9514,3.96,3.8471,3.8743,8561700
19-06-2006,3.9057,4.0243,3.8657,4.0021,8585500
20-06-2006,3.9486,3.9629,3.8271,3.8686,16476600
21-06-2006,3.8886,3.8971,3.7914,3.8814,10173100
22-06-2006,4.0071,4.07,3.8957,3.9529,9859500
23-06-2006,3.93,3.96,3.8929,3.9057,3780700
26-06-2006,3.9243,4.0071,3.9243,3.9571,4006100
27-06-2006,3.9657,3.9743,3.8386,3.8443,5217100
28-06-2006,3.8743,3.8756,3.7529,3.7943,5618900
29-06-2006,3.8,3.8943,3.7986,3.88,5491500
30-06-2006,3.8929,3.9314,3.7857,3.8871,7066500
03-07-2006,3.9086,3.9371,3.8643,3.8914,2731400
05-07-2006,3.8543,3.87,3.7757,3.8057,4793600
06-07-2006,3.7957,3.8386,3.7786,3.8029,3276000
07-07-2006,3.7957,3.8457,3.7143,3.8071,5056100
10-07-2006,3.8229,3.8271,3.7386,3.7786,3127600
11-07-2006,3.7471,3.7757,3.5529,3.6186,19475400
12-07-2006,3.6229,3.6269,3.4986,3.5129,6599600
13-07-2006,3.48,3.6214,3.4714,3.5571,9004800
14-07-2006,3.5429,3.5614,3.4129,3.4557,8575000
17-07-2006,3.4286,3.5114,3.3514,3.4014,6465200
18-07-2006,3.3971,3.41,3.2571,3.3429,16231600
19-07-2006,3.3271,3.39,3.2729,3.3843,10269000
20-07-2006,3.3871,3.4443,3.3271,3.3357,7718900
21-07-2006,3.3243,3.3443,3.2814,3.2929,8186500
24-07-2006,3.2957,3.4071,3.1971,3.3943,24825500
